day,temp.high,temp.avg,temp.low,dp.high,dp.avg,dp.low,hum.high,hum.avg,hum.low,slp.high,slp.avg,slp.low,vis.high,vis.avg,vis.low,wind.high,wind.avg,wind.high,Prec.sum
1,32,28,24,17,14,12,60,46,31,1011,1009,1008,16,16,16,23,7,35,0
2,32,27,22,16,14,11,66,48,29,1013,1012,1011,16,16,16,19,3,27,0
3,32,28,24,17,16,13,60,49,38,1011,1010,1008,16,16,16,19,8,34,0
4,32,26,21,20,16,11,90,61,31,1013,1011,1009,16,13,1,37,9,58,10.92
5,31,27,22,15,13,11,61,47,32,1014,1012,1011,16,16,16,19,5,34,0
6,28,24,19,12,11,10,59,47,34,1015,1014,1012,16,16,16,14,4,23,0
7,29,25,21,13,12,11,61,48,34,1013,1013,1012,16,16,16,21,9,29,0
8,28,24,20,15,13,11,73,58,42,1016,1015,1013,16,16,16,19,6,24,0
9,29,25,20,17,14,12,73,54,34,1017,1016,1015,16,16,16,16,6,27,0
10,29,25,21,18,16,12,73,57,40,1019,1017,1015,16,16,16,21,7,32,0
11,27,24,22,22,19,17,93,79,64,1015,1010,1007,16,10,1,19,7,34,29.72
12,29,26,22,19,14,12,74,56,37,1014,1011,1009,16,16,16,19,7,31,0
13,28,24,19,14,11,8,63,47,30,1020,1017,1014,16,16,16,16,5,24,0
14,31,26,19,16,13,9,63,49,34,1022,1020,1019,16,16,16,14,5,29,0
15,33,28,23,18,17,15,64,50,36,1020,1019,1018,16,16,16,13,5,26,0
16,34,29,24,20,18,17,64,51,38,1020,1019,1017,16,16,14,14,3,27,0
17,35,31,26,20,18,17,62,51,39,1019,1017,1016,16,15,14,16,5,24,0
18,32,28,23,22,20,18,87,67,46,1018,1017,1015,16,13,3,23,6,40,7.37
19,31,28,25,22,21,20,79,70,61,1019,1017,1016,16,16,16,19,6,35,0
20,30,28,25,22,21,18,79,67,55,1018,1016,1014,16,16,16,26,9,40,0.25
21,31,26,22,23,18,12,94,65,35,1018,1016,1013,16,14,3,19,7,26,8.13
22,30,26,21,14,11,8,57,45,32,1020,1019,1017,16,15,10,16,7,26,0
23,29,26,21,19,17,14,78,63,47,1017,1015,1013,16,16,16,16,6,23,0
24,31,27,23,20,18,16,84,63,42,1014,1012,1010,16,16,13,14,4,29,0
25,32,28,23,20,17,9,69,53,37,1012,1011,1009,16,16,14,16,6,29,0
26,29,24,19,12,11,9,63,46,29,1016,1014,1013,16,16,16,19,6,31,0
27,28,24,19,13,11,10,63,50,36,1020,1017,1016,16,16,16,16,5,27,0
28,28,23,17,12,11,9,67,50,33,1023,1021,1020,16,16,16,13,4,23,0
29,31,25,19,15,13,11,63,47,31,1023,1021,1019,16,16,16,19,3,32,0
30,32,27,22,22,18,14,79,61,43,1020,1018,1016,16,14,2,19,6,31,3.3
31,33,29,24,20,18,17,74,56,38,1017,1016,1014,16,14,11,21,7,34,0
